"city","year","mean","sample.n","sample.sd","sample.se","degrees.freedom","t.score","margin.error","lower.bound","upper.bound"
"iq",2010,9.02164763716454,26,4.35577770824547,0.854238289662159,25,2.0595385527533,1.75933669079726,7.26231094636728,10.7809843279618
"iq",2011,8.38937185304342,52,3.74785383489968,0.519733814410582,51,2.00758377031584,1.04340917069503,7.34596268234839,9.43278102373845
"iq",2012,8.42008707582031,52,4.67481148445859,0.648279711936284,51,2.00758377031584,1.30147582830831,7.11861124751201,9.72156290412862
"iq",2013,7.07375778302319,26,4.31184654146895,0.845622679021836,25,2.0595385527533,1.741592508528,5.33216527449519,8.81535029155119
"sj",2008,41.125208779712,35,18.6128604356645,3.14614763797398,34,2.03224450931772,6.39374126277553,34.7314675169365,47.5189500424875
"sj",2009,31.1531433414059,52,23.798201705546,3.30021678896848,51,2.00758377031584,6.62546166405696,24.5276816773489,37.7786050054629
"sj",2010,38.9966567726356,52,15.5842142256559,2.16114167224683,51,2.00758377031584,4.33867294655597,34.6579838260796,43.3353297191915
"sj",2011,32.0659134058992,52,16.0670641848355,2.2281009140229,51,2.00758377031584,4.47309923361824,27.592814172281,36.5390126395175
"sj",2012,34.0655559188481,52,16.8650270622292,2.33875845519058,51,2.00758377031584,4.69525351732955,29.3703024015185,38.7608094361776
"sj",2013,31.4676669068802,17,29.5895627189922,7.17652308860255,16,2.11990529922126,15.2135493255122,16.2541175813679,46.6812162323924
